"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
"137","西瓜胡萝卜沙拉","麻辣小龙虾","农夫山泉NFC果汁100%橙汁","番茄炖牛腩 ","凉拌菠菜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","芝士烩波士顿龙虾","麻辣小龙虾","姜葱炒花蟹","水煮鱼","百里香奶油烤紅酒牛肉","香菇鹌鹑蛋","拌土豆丝","焖猪手","53度茅台","路易拉菲红酒干红","意文柠檬汁 ","蛋挞","黄油曲奇饼干","香菇鸡肉粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","麻辣小龙虾","香菇鹌鹑蛋","凉拌菠菜","哈尔滨啤酒罐装",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","芝士烩波士顿龙虾","清蒸海鱼","百里香奶油烤紅酒牛肉","辣炒鱿鱼","爆炒猪肝","啤酒鸭","干锅田鸡","番茄蛋汤","黄花菜炒木耳","西瓜胡萝卜沙拉","凉拌萝卜丝","38度剑南春 ","蓝带啤酒罐装","老式面包","一品香酥藕","牛奶卷","葡萄奶酥(超酥香的饼干)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","水煮鱼","葱姜炒蟹","啤酒鸭","百威啤酒罐装","大理石奶油蛋糕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","党参黄芪炖牛尾 ","三色凉拌手撕兔","白斩鸡","爆炒鸡翅","清炒菊花菜","培根花菜"," 北冰洋汽水 ","老式面包",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","芝士烩波士顿龙虾","凉拌菠菜","核桃葡萄干土司","倒立蒸梭子蟹","番茄甘蓝",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","红酒炖羊肉","辣炒鱿鱼","姜葱炒花蟹","凉拌菠菜","桂圆枸杞鸽子汤","黄花菜炒木耳","黄尾袋鼠西拉子红葡萄酒","蛋挞","黑米恋上葡萄","黄油曲奇饼干","皮蛋瘦肉粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","油焖麻辣虾","蒜香辣花甲","蒜蓉生蚝","番茄有机花菜","谷稻小庄 ","冰糖红豆薏米粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","油焖麻辣虾","海带结豆腐汤","凉拌菠菜","爆炒双丝","香烤牛排 ","小米南瓜粥","咖啡奶香面包",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","麻辣小龙虾","香菇鹌鹑蛋","焖猪手","葱油凉拌藕片","百威啤酒罐装","桂圆肉红豆八宝饭","五色糯米饭(七色)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","芝士烩波士顿龙虾","姜葱炒花蟹","剁椒鱼头","辣炒田螺","不加一滴油的酸奶蛋糕","木须豌豆","酸辣汤面",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","蒜香辣花甲","桂圆枸杞鸽子汤","照烧鸡腿 ","青炒扁豆",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","党参黄芪炖牛尾 ","辣炒鱿鱼","照烧鸡腿 ","青炒扁豆","谷稻小庄 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","番茄蛋汤","凉拌菠菜","蛋挞","清蒸海鱼","重庆特色油烧兔",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","培根紫菜卷","麻辣小龙虾","红酒土豆烧鸭腿 ","三丝鳝鱼","爆炒鸡翅","白胡椒胡萝卜羊肉汤","孜然羊排","青岛啤酒罐装","哈尔滨啤酒罐装","一品香酥藕","葡萄奶酥(超酥香的饼干)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","辣炒海带丝","爆炒鳝碌","白胡椒胡萝卜羊肉汤","爆炒鸡翅","小米南瓜粥","金玉良缘","酸辣藕丁",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","麻辣小龙虾","香酥两吃大虾","避风塘炒蟹","水煮鱼","蒜香辣花甲","香烤牛排 ","党参黄芪炖牛尾 ","焖猪手","酸辣藕丁","凉拌蒜蓉西兰花","凉拌菠菜","南瓜枸杞小饼干"," 42度海之蓝","意文柠檬汁 ","香菇鸡肉粥","清爽拌凉面","超人气广式肠粉",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","香酥两吃大虾","蒙古烤羊腿 ","爆炒鸡翅","肉丁茄子","番茄有机花菜","酸辣汤面","山药养生粥","广式虾仁肠粉","啤酒鸭","意文柠檬汁 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","麻辣小龙虾","番茄甘蓝","杭椒鸡珍","凉拌菠菜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","桂圆枸杞鸽子汤","红酒土豆烧鸭腿 ","香烤牛排 ","番茄有机花菜","意文柠檬汁 ","酸辣汤面","蛋挞","广式虾仁肠粉",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","凉拌海带豆芽紫菜","泡椒凤爪 ","桂圆枸杞鸽子汤","水煮鱼","三色凉拌手撕兔","辣炒田螺","蒜香辣花甲","香烤牛排 ","焖猪手","番茄有机花菜","凉拌菠菜","金玉良缘","黄尾袋鼠西拉子红葡萄酒","张裕葡萄酒张裕赤霞珠干红 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","姜葱炒花蟹","海带结豆腐汤","三丝鳝鱼","香烤牛排 ","玉竹南北杏鸭腿汤","啤酒鸭","香菇鹌鹑蛋","拌土豆丝","糖醋蕃茄溜青花","黄油曲奇饼干","小米南瓜粥","皮蛋瘦肉粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","香酥两吃大虾","番茄甘蓝",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","油焖麻辣虾","金玉良缘","超人气广式肠粉",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","一品香酥藕","芹菜炒腰花","香酥两吃大虾",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
