"p","d","q","P","D","Q","²Ð²îPÖµ","Æ½¾ùÎó²î","AIC","BIC"
0,0,1,0,1,2,0.7854,0.181008018182455,404.663780827605,408.841870578499
0,0,1,0,1,3,0.7251,0.151767904040702,405.894933703039,411.117545891656
0,0,1,0,1,5,0.6407,0.183058943843819,409.528205001809,416.839862065873
0,0,1,1,1,2,0.7645,0.190676160694142,406.420098935859,411.642711124476
0,0,1,1,1,3,0.6825,0.167749581985782,407.598562634183,413.865697260523
0,0,1,1,1,5,0.637,0.183770581821827,411.519174061914,419.875353563701
0,0,2,0,1,2,0.3284,0.408475113386705,405.757432094331,410.980044282948
0,0,2,0,1,3,0.2958,0.340633571070514,406.970166756568,413.237301382908
0,0,2,0,1,5,0.2471,0.362781303544491,410.129679629127,418.485859130914
0,0,3,0,1,2,0.3293,0.406265984723284,403.890087855182,410.157222481523
0,0,3,0,1,3,0.4858,0.690650558185105,404.539976485615,411.851633549679
0,0,3,0,1,5,0.4075,0.690950762435882,407.67604940697,417.076751346481
0,0,4,0,1,2,0.5192,0.301228323807935,402.552923582508,409.864580646572
0,0,4,0,1,3,0.4949,0.265692403854852,404.360725462293,412.716904964081
0,0,4,0,1,5,0.4995,0.283688268845876,408.055997524586,418.501221901821
0,0,5,0,1,2,0.581,0.298512843928938,404.485968100252,412.842147602039
0,0,5,0,1,3,0.57,0.253437609443441,406.271514701614,415.672216641125
0,0,5,0,1,5,0.5514,0.275436705499073,410.0038339955,421.493580810458
2,0,1,0,1,2,0.7606,0.161290702706825,408.146793170049,414.413927796389
2,0,1,0,1,3,0.7516,0.140118394342338,409.621216426151,416.932873490215
2,0,1,0,1,5,0.6345,0.198078044143728,413.394185761448,422.794887700959
2,0,1,1,1,2,0.7424,0.166331520023409,409.923716936009,417.235374000073
2,0,1,1,1,3,0.6859,0.151918263235934,411.282569262202,419.638748763989
2,0,1,1,1,5,0.6439,0.174183362511154,415.262986745827,425.708211123062
2,0,2,0,1,2,0.6435,0.216670723771955,406.71411964519,414.025776709254
2,0,2,0,1,3,0.5496,0.190216318908757,408.176151210141,416.532330711928
2,0,2,0,1,5,0.5713,0.223752698932327,411.749182840398,422.194407217632
2,0,3,0,1,2,0.6265,0.341066899048474,403.750395164001,412.106574665789
2,0,3,0,1,3,0.5251,0.308213805392594,405.329275069558,414.729977009069
2,0,3,0,1,5,0.4872,0.329500518458773,408.678237868996,420.167984683954
2,0,4,0,1,2,0.5959,0.490924143222237,403.861217795238,413.261919734748
2,0,4,0,1,3,0.6095,0.492509781825776,405.854326919118,416.299551296352
2,0,4,0,1,5,0.464,0.328599673427698,410.662328349681,423.196597602362
2,0,5,0,1,2,0.5439,0.297735099072734,405.596012380973,416.041236758207
2,0,5,0,1,3,0.5582,0.326386243816995,407.485565843997,418.975312658955
2,0,5,0,1,5,0.5054,0.302009186786327,410.947928758736,424.526720449141
3,0,1,0,1,2,0.9946,0.319821391324446,404.828452607993,412.140109672057
3,0,1,0,1,3,0.9491,0.273375244335915,406.420678794431,414.776858296218
3,0,1,0,1,5,0.9231,0.297371555122514,410.09396673739,420.539191114624
3,0,1,1,1,2,0.974,0.292066294983878,406.595533862093,414.95171336388
3,0,1,1,1,3,0.9363,0.285634184797254,408.275343907208,417.676045846719
3,0,1,1,1,5,0.9171,0.290069763022632,412.01437438424,423.504121199198
3,0,2,0,1,2,0.743,0.300329390271748,406.273163081588,414.629342583375
3,0,2,0,1,3,0.714,0.244086737646454,407.907972028076,417.308673967586
3,0,2,0,1,5,0.6937,0.26853454445754,411.427785210066,422.917532025023
3,0,3,0,1,2,0.5771,0.445614417781897,405.380829799789,414.7815317393
3,0,3,0,1,3,0.543,0.404186396476162,407.213333674639,417.658558051873
3,0,3,0,1,5,0.4605,0.330341681795121,410.66196281349,423.196232066171
3,0,4,0,1,2,0.6705,0.376125919263597,407.474489324515,417.919713701749
3,0,4,0,1,3,0.5254,0.310293825183297,409.328505603865,420.818252418822
3,0,4,0,1,5,0.4897,0.336207388417152,412.665450340283,426.244242030688
3,0,5,0,1,2,0.6468,0.521736958121992,407.682400386933,419.172147201891
3,0,5,0,1,3,0.6566,0.515369467805328,409.684237140056,422.218506392737
3,0,5,0,1,5,0.4693,0.335335210809184,414.654294101761,429.277608229889
4,0,1,0,1,2,0.439,0.28006888048021,405.591136606115,413.947316107903
4,0,1,0,1,3,0.4452,0.231106285076837,407.303355154004,416.704057093515
4,0,1,0,1,5,0.5167,0.247708077239864,410.77943208653,422.269178901488
4,0,1,1,1,2,0.7876,0.394493761773698,406.616754002299,416.01745594181
4,0,1,1,1,3,0.7768,0.367224147885136,408.482162768041,418.927387145275
4,0,1,1,1,5,0.7625,0.369818395679489,412.464507816605,424.998777069286
4,0,2,0,1,2,0.5144,0.461417431934789,404.679897303582,414.080599243093
4,0,2,0,1,3,0.5199,0.415410097588068,406.482903186305,416.928127563539
4,0,2,0,1,5,0.4989,0.41630589930419,410.411889200978,422.946158453659
4,0,3,0,1,2,0.5122,0.423130934188232,406.488504695444,416.933729072678
4,0,3,0,1,3,0.5133,0.404620876797279,408.453847295633,419.943594110591
4,0,3,0,1,5,0.5528,0.356426154043828,412.010722956174,425.589514646579
4,0,4,0,1,2,0.6659,0.464491744398787,409.202866270684,420.692613085642
4,0,4,0,1,3,0.5587,0.380279657674595,410.12985622674,422.664125479421
4,0,4,0,1,5,0.5991,0.233732276001059,413.932995202889,428.556309331017
4,0,5,0,1,2,0.6423,0.326857166255482,409.702009721538,422.236278974219
4,0,5,0,1,3,0.6149,0.310812858447961,411.590716737383,425.169508427788
4,0,5,0,1,5,0.5287,0.314472094444508,414.476139301971,430.143975867822
5,0,1,0,1,2,0.5602,0.442634225145537,404.376782635993,413.777484575504
5,0,1,0,1,3,0.6009,0.530676804335864,405.681767177653,416.126991554887
5,0,1,0,1,5,0.6176,0.560384469479765,409.536944650594,422.071213903275
5,0,1,1,1,2,0.6096,0.539841586924129,405.847865208662,416.293089585896
5,0,1,1,1,3,0.6114,0.556348988123286,407.639047381466,419.128794196423
5,0,1,1,1,5,0.6363,0.567940240512904,411.434600129072,425.013391819476
5,0,2,0,1,2,0.4883,0.43854256778391,406.245521175602,416.690745552836
5,0,2,0,1,3,0.4912,0.430433687780849,408.238760364976,419.728507179934
5,0,2,0,1,5,0.6227,0.609101464201373,408.571272196749,422.150063887154
5,0,3,0,1,2,0.519,0.492031648358563,406.581531449113,418.071278264071
5,0,3,0,1,3,0.5268,0.559051141324848,407.117224888498,419.65149414118
5,0,3,0,1,5,0.7952,0.752729011109433,408.578212668482,423.20152679661
5,0,4,0,1,2,0.7237,0.466491516275635,406.83641555345,419.370684806131
5,0,4,0,1,3,0.5848,0.555144889598898,409.424416650777,423.003208341181
5,0,4,0,1,5,0.3859,0.713651233357614,410.310303869726,425.978140435578
5,0,5,0,1,2,0.6243,0.465700361855149,408.804424545049,422.383216235454
5,0,5,0,1,3,0.6423,0.520328839576421,408.819250817062,423.44256494519
5,0,5,0,1,5,0.6621,0.561846968010291,412.092373185352,428.804732188927
