""," 42∂»∫£÷Æ¿∂"," ±±±˘—Û∆˚ÀÆ ","38∂»Ω£ƒœ¥∫ ","50∂»π≈æÆπ±æ∆","52∂»„Ú÷›¿œΩ— ","53∂»√©Ã®","∞◊∫˙Ω∑∫˙¬‹≤∑—Ú»‚Ã¿","∞◊’∂º¶","∞Ÿ¿Ôœ„ƒÃ”Õøæ∫Ïæ∆≈£»‚","∞Ÿ¿Ôœ„ƒÃ”Õøæºtæ∆≈£»‚","∞ŸÕ˛∆°æ∆πﬁ◊∞","∞ËÕ¡∂πÀø","±¶±¶∞Ê≈£»‚≥¶∑€","±¨≥¥º¶≥·","±¨≥¥˜≠¬µ","±¨≥¥À´Àø","±¨≥¥÷Ì∏Œ","±‹∑ÁÃ¡≥¥–∑","±˘Ã«∫Ï∂πﬁ≤√◊÷‡","±˘’Úª®¬›","≤ªº”“ªµŒ”ÕµƒÀ·ƒÃµ∞∏‚","≥¨»À∆¯π„ Ω≥¶∑€","¥–Ω™≥¥–∑","¥–”Õ¡π∞Ë≈∫∆¨","¥Ú¬±√Ê","¥Û¿Ì ØƒÃ”Õµ∞∏‚","¥ÛÀ‚‹»≤À","µ∞Ã¢","µ≥≤Œª∆‹ŒÏ¿≈£Œ≤ ","µπ¡¢’ÙÀÛ◊”–∑","∂¨πœ≥¥ø‡πœ","∂¿º“±°∫…œ œ∫≈£»‚æÌ ","∂ÁΩ∑”„Õ∑","∑®π˙≤®∂˚∂‡AOC∏…∫Ï∆œÃ—æ∆‘≠","∑¨«—µ∞Ã¿","∑¨«—Ï¿≈£ÎÓ ","∑¨«—Ï¿«Ôø˚","∑¨«—∏ ¿∂","∑¨«—”–ª˙ª®≤À","∏…π¯ÃÔº¶","π»µæ–°◊Ø ","π„ Ωœ∫» ≥¶∑€","π‘≤Ë€ËΩ∏Î◊”Ã¿","π‘≤»‚∫Ï∂π∞À±¶∑π","π˛∂˚±ı∆°æ∆πﬁ◊∞","∫£¥¯Ω·∂π∏ØÃ¿","∫ºΩ∑º¶’‰","∫ÀÃ“∆œÃ—∏…Õ¡Àæ","∫⁄√◊¡µ…œ∆œÃ—","∫Ïæ∆Ï¿—Ú»‚","∫Ïæ∆Õ¡∂π…’—ºÕ» ","ª®∏Ú’Ùµ∞","ª∆ª®≤À≥¥ƒæ∂˙","ª∆Œ≤¥¸ ÛŒ˜¿≠◊”∫Ï∆œÃ—æ∆","ª∆”Õ«˙∆Ê±˝∏…","º¶µ∞°¢»‚ƒ©≥¶∑€","Ω™¥–≥¥ª®–∑","Ω”Ò¡º‘µ","øß∑»ƒÃœ„√Ê∞¸","øÏ≥¥ª∆˜≠","¿±≥¥∫£¥¯Àø","¿±≥¥ª®∏Ú","¿±≥¥ÃÔ¬›","¿±≥¥ˆœ”„","¿∂¥¯∆°æ∆πﬁ◊∞","¿œ Ω√Ê∞¸","¡π∞Ë≤§≤À","¡π∞Ë∫£¥¯∂π—ø◊œ≤À","¡π∞Ë¬‹≤∑Àø","¡π∞ËÀ‚»ÿŒ˜¿ºª®","¬∑“◊¿≠∑∆∫Ïæ∆∏…∫Ï","¬∂¬∂ŒﬁÃ«–”» ¬∂","¬È¿±–°¡˙œ∫","√¿√Óæ¯¬◊÷Æ∞◊¡´ª®","ÏÀ÷Ì ÷","√…π≈øæ—ÚÕ» ","ƒæ–ÎÕ„∂π","ƒœπœË€ËΩ–°±˝∏…","ƒœπœ÷• ø∞¸","≈£ƒÃæÌ","≈£»‚º¶µ∞≥¶∑€","≈£Œ≤Ã¿","≈©∑Ú…Ω»™NFCπ˚÷≠100%≥»÷≠","≈Ã–∑’Ùµ∞","≈›Ω∑∑Ô◊¶ ","≈‡∏˘ª®≤À","≈‡∏˘◊œ≤ÀæÌ","∆§µ∞ ›»‚÷‡","∆°æ∆—º","∆œÃ—ƒÃÀ÷(≥¨À÷œ„µƒ±˝∏…)","Ï¡≥¥¥Û∞◊≤À","«€≤À≥¥—¸ª®","«€ª∆˜≠Àø","«‡≥¥±‚∂π","«‡µ∫∆°æ∆πﬁ◊∞","«Â≥¥æ’ª®≤À","«ÂÀ¨∞Ë¡π√Ê","«Â’Ùµ˚”„","«Â’Ù∫£”„","»‚∂°«—◊”","»˝…´¡π∞Ë ÷À∫Õ√","»˝Àø˜≠”„","…Ω“©—¯…˙÷‡","ÀÆ÷Û”„","À·¿±≈∫∂°","À·¿±Ã¿√Ê","À‚»ÿ…˙Ú∫","À‚œ„∞¸","À‚œ„¿±ª®º◊","Ã«¥◊ﬁ¨«—¡Ô«‡ª®","Ãÿ¥ººŒ ø≤Æ∆°æ∆πﬁ◊∞","Ã˙∞Â≈£»‚","Õ¡∂πŒ˜∫Ï ¡Ã¿√Ê","Õ„∂π Ì◊–÷Ìπ«Ã¿","ŒÂ≤ ∂π","ŒÂ≤ ≈∫√Á","ŒÂ…´≈¥√◊∑π(∆ﬂ…´)","ŒÂœ„Ω¥¬ø»‚ ","Œ˜πœ∫˙¬‹≤∑…≥¿≠","œ √¿˜≠”„","œ„πΩ∆»µ∞","œ„πΩº¶»‚÷‡","œ„øæ≈£≈≈ ","œ„¿±±¨—Ú∏Œ ","œ„¿±∏Ø»È≥¥œ∫","œ„À÷¡Ω≥‘¥Ûœ∫","–°≥¥—Ú—¸ ","–°√◊ƒœπœ÷‡","“ª∆∑œ„À÷≈∫","“‚Œƒƒ˚√ ÷≠ ","”ÕÏÀ¬È¿±œ∫","”„œ„»‚Àø∞Ë√Ê","”Ò÷Òƒœ±±–”—ºÕ»Ã¿","’≈‘£∆œÃ—æ∆’≈‘£≥‡œº÷È∏…∫Ï ","≥§≥«Ω—ƒΩ‚∞Ÿƒ…∫Ïæ∆∏…∫Ï∆œÃ—æ∆","’’…’º¶Õ» ","÷•¬Èøæ◊œ≤À","÷• øª‚≤® ø∂Ÿ¡˙œ∫","÷Ω±≠µ∞∏‚","÷ÿ«ÏÃÿ…´”Õ…’Õ√","◊Œ»ª—Ú≈≈","◊œ Ì√Ê∞¸æÌ","◊‘÷∆÷Ì»‚∏¨"
" 42∂»∫£÷Æ¿∂",0,0,0,0,0,0,0.0776699029126213,0,0,0,0,0,0,0.0845070422535211,0.151515151515151,0,0,0.0615384615384615,0,0.0625,0.0638297872340425,0,0,0,0,0,0,0,0.0754716981132075,0,0,0,0,0,0,0.0776699029126213,0,0,0,0,0,0,0,0,0,0,0.106382978723404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638297872340425,0,0,0,0,0,0,0,0.0727272727272728,0.0714285714285714,0,0,0,0,0.0697674418604651,0.0606060606060606,0,0,0,0,0.0847457627118644,0,0,0,0,0,0,0,0,0.09,0.0630630630630631,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606060606060606,0,0,0.102040816326531,0.069620253164557,0.0655737704918032,0.0695652173913044,0,0.0700000000000001,0,0.087378640776699,0.0833333333333334,0,0.0833333333333334,0,0,0,0,0.0660377358490566,0,0,0.0689655172413793,0,0,0.064516129032258,0,0,0,0,0,0
" ±±±˘—Û∆˚ÀÆ ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0,0.11965811965812,0,0,0,0,0,0.1875,0,0,0,0,0.121739130434783,0,0,0.118181818181818,0,0,0.131147540983607,0,0,0,0,0,0,0,0,0,0,0,0,0.118518518518518,0,0,0,0,0,0,0.118279569892473,0,0,0.151785714285714,0,0,0,0,0.172413793103448,0.153061224489796,0.170068027210884,0.12568306010929,0.167741935483871,0,0,0,0,0,0,0.181818181818182,0.142857142857143,0,0,0,0,0,0,0.117647058823529,0.133802816901408,0,0,0,0,0,0.11864406779661,0,0,0,0,0,0.130177514792899,0,0,0,0,0,0,0,0,0,0.151515151515151,0,0,0,0.125,0.160839160839161,0,0,0,0,0.186274509803922,0,0.133689839572192,0,0.139130434782609,0,0,0,0,0,0,0,0,0,0.128205128205128,0.13953488372093,0,0.119205298013245,0,0.141935483870968
"38∂»Ω£ƒœ¥∫ ",0,0,0,0,0,0,0,0,0.0985915492957746,0,0,0,0,0.105263157894737,0,0.154639175257732,0,0,0.101010101010101,0,0,0,0,0.12,0,0,0,0,0,0.1125,0,0,0,0,0,0.102803738317757,0.114285714285714,0,0,0,0,0,0,0.146067415730337,0,0.111111111111111,0,0,0,0,0.0983606557377049,0,0,0,0,0,0,0.104651162790698,0.102564102564103,0,0,0.0961538461538461,0,0,0,0,0,0,0.105263157894737,0,0,0,0,0,0,0,0,0,0,0.138888888888889,0.116279069767442,0,0,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0.0972222222222222,0,0.103448275862069,0.105263157894737,0,0,0,0,0,0,0,0.0967741935483871,0.1,0,0,0,0,0,0,0,0.12962962962963,0,0,0.120689655172414,0,0,0,0.11214953271028,0,0.0967741935483871,0,0,0,0,0,0,0,0,0,0,0.123287671232877,0,0.101796407185629,0,0,0,0.106060606060606,0
"50∂»π≈æÆπ±æ∆",0,0,0,0,0,0,0,0.0789473684210527,0.106060606060606,0,0,0,0,0.0972222222222222,0.142857142857143,0.0918367346938775,0.0841121495327103,0,0,0.0909090909090909,0,0,0,0.0821917808219178,0,0,0.0975609756097561,0,0,0.105263157894737,0.181818181818182,0,0,0,0,0.0970873786407767,0,0,0,0.115942028985507,0,0,0,0,0,0.0975609756097561,0.08,0,0,0,0.0877192982456141,0,0,0.078125,0,0,0,0.0843373493975903,0,0,0,0,0,0,0,0,0,0,0,0.0810810810810811,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963855421686747,0.1,0,0,0,0,0,0,0,0.105263157894737,0,0,0,0,0,0,0,0,0,0,0.0806451612903226,0,0,0,0,0,0,0.0777777777777777,0,0.136363636363636,0,0.0833333333333334,0,0,0.0769230769230769,0,0,0,0,0,0,0,0.0975609756097561,0,0.0793650793650793,0
"52∂»„Ú÷›¿œΩ— ",0,0,0.0697674418604651,0,0,0,0,0.0759493670886076,0.0857142857142857,0,0,0,0,0,0,0.0784313725490196,0.0720720720720721,0,0.0700000000000001,0,0,0,0.0923076923076923,0,0.0877192982456141,0,0,0,0,0.0875,0,0,0,0,0,0.0740740740740741,0,0,0,0,0,0,0,0,0,0,0,0.0851063829787234,0,0,0,0,0.101449275362319,0,0.0714285714285714,0,0,0.107142857142857,0,0,0.132075471698113,0,0,0,0,0,0,0,0,0,0,0.0847457627118644,0,0,0.0980392156862745,0,0.0714285714285714,0,0,0.114285714285714,0.0697674418604651,0.078125,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0.0845070422535211,0,0.0930232558139534,0.0782608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925925925925926,0,0,0,0,0,0,0,0,0,0,0,0.0813953488372093,0.0793650793650793,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0.0775193798449613
"53∂»√©Ã®",0,0,0,0,0,0,0,0,0.116883116883117,0,0,0.118811881188119,0.113636363636364,0,0,0,0.112068965517241,0,0,0,0,0,0.191176470588235,0.121951219512195,0.125,0,0,0,0,0,0,0.118811881188119,0,0,0,0.125,0.116883116883117,0,0,0.111111111111111,0,0,0,0.111111111111111,0,0,0,0,0.148648648648649,0,0,0.129032258064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116279069767442,0,0,0,0,0,0,0,0,0.126582278481013,0.166666666666667,0,0,0,0.113636363636364,0,0,0,0,0,0,0,0,0,0,0.135593220338983,0.12987012987013,0,0,0,0.124137931034483,0.114942528735632,0,0,0,0,0.125,0,0,0,0,0,0,0.121951219512195,0,0.140495867768595,0,0.14018691588785,0,0.114035087719298,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0.109826589595376,0,0,0,0,0.120300751879699
"∞◊∫˙Ω∑∫˙¬‹≤∑—Ú»‚Ã¿",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179012345679012,0,0.169934640522876,0,0,0,0,0,0,0,0.18705035971223,0.212903225806452,0,0,0,0,0,0,0,0,0,0,0,0,0.233480176211454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185897435897436,0.170212765957447,0,0,0,0,0,0.21608040201005,0,0,0.280701754385965,0,0,0.211180124223602,0,0,0.203703703703704,0.170454545454545,0.218274111675127,0.228571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21875,0,0,0,0,0,0.202898550724638,0,0,0,0,0,0.209677419354839,0,0,0,0,0.214285714285714,0.169934640522876,0,0,0,0,0,0,0.211822660098522,0,0.19047619047619,0,0.187096774193548,0,0.19620253164557,0,0.178082191780822,0.211822660098522,0,0,0,0,0,0,0,0,0,0.178294573643411,0.181818181818182,0.175925925925926,0,0,0.180232558139535,0,0.226744186046512
"∞◊’∂º¶",0,0,0,0,0,0,0,0,0,0,0,0,0,0.138888888888889,0,0.135338345864662,0.151079136690647,0,0,0,0,0,0,0,0,0,0,0,0,0.196261682242991,0,0,0,0,0,0.171641791044776,0.17,0.147826086956522,0.150793650793651,0,0.152777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.145299145299145,0,0,0,0,0,0,0,0,0.12987012987013,0,0,0.163120567375887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131578947368421,0,0,0.139705882352941,0.154929577464789,0,0,0,0.134615384615385,0,0.173913043478261,0.145833333333333,0,0,0,0,0.161676646706587,0,0,0,0,0,0,0,0,0,0,0,0,0.168478260869565,0.15625,0,0,0,0,0,0,0,0.155913978494624,0,0,0.135416666666667,0.165413533834586,0.152173913043478,0.136363636363636,0,0,0,0,0,0.155440414507772,0,0,0,0.142857142857143,0.139240506329114
"∞Ÿ¿Ôœ„ƒÃ”Õøæ∫Ïæ∆≈£»‚",0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.163265306122449,0,0.136,0.198412698412698,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154639175257732,0.132075471698113,0,0,0.128205128205128,0,0,0,0,0,0,0,0.135802469135802,0.148936170212766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130044843049327,0,0,0,0,0,0,0,0.162790697674419,0,0,0.13265306122449,0,0,0,0,0,0,0,0.180851063829787,0.144230769230769,0,0,0,0,0.139705882352941,0,0,0,0.123711340206186,0.158878504672897,0,0.164179104477612,0,0,0,0,0.149068322981367,0,0,0,0,0,0,0,0,0,0,0,0,0.138121546961326,0,0,0,0,0,0,0,0.128205128205128,0.131868131868132,0,0,0,0.149606299212598,0.136363636363636,0,0,0,0,0.166666666666667,0,0.150537634408602,0,0,0.124137931034483,0.170454545454545,0.147651006711409
"∞Ÿ¿Ôœ„ƒÃ”Õøæºtæ∆≈£»‚",0,0,0.0357142857142857,0.0434782608695652,0,0.0277777777777778,0,0,0.0172413793103449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421052631578948,0,0,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0.0256410256410257,0,0.0175438596491229,0,0.0212765957446809,0,0.0172413793103449,0,0.037037037037037,0,0,0,0,0,0,0.027027027027027,0,0,0.032258064516129,0.0277777777777778,0,0,0.0317460317460317,0,0.0666666666666667,0,0,0,0,0,0,0,0,0.0476190476190477,0.0357142857142857,0,0,0,0.0222222222222223,0.0163934426229508,0,0,0,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0,0,0,0,0,0,0.0344827586206896,0,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0,0,0,0,0,0,0.02,0,0,0,0,0.0204081632653061,0,0,0.0188679245283019,0.0248447204968945,0,0,0.0178571428571429,0,0
