".id","TP","FP","FN","TN","precision","recall","TPR","FPR","F1"
"ItemCF 15",2.838,11.502,13.345,114.315,0.193,0.208,0.208,0.091,0.2
"ItemCF 20",3.407,15.231,12.776,110.585,0.176,0.243,0.243,0.12,0.204
"ItemCF 25",3.92,18.673,12.264,107.144,0.164,0.277,0.277,0.148,0.206
"ItemCF 30",4.305,21.915,11.878,103.902,0.153,0.302,0.302,0.173,0.204
"ItemCF 35",4.649,24.878,11.535,100.938,0.145,0.326,0.326,0.197,0.201
"UserCF 15",3.645,11.355,12.538,114.462,0.243,0.265,0.265,0.089,0.254
"UserCF 20",4.587,15.413,11.596,110.404,0.229,0.326,0.326,0.121,0.269
"UserCF 25",5.307,19.693,10.876,106.124,0.212,0.367,0.367,0.155,0.269
"UserCF 30",6.075,23.925,10.109,101.891,0.202,0.412,0.412,0.189,0.272
"UserCF 35",6.715,28.285,9.469,97.531,0.192,0.45,0.45,0.223,0.269
